week_start,BrandMedia_Addressable/Linear_Spends,BrandMedia_ConnectedTV_Spends,BrandMedia_Default_Spends,BrandMedia_Display_Spends,BrandMedia_LiveStreamVideo_Spends,BrandMedia_OOH_Spends,BrandMedia_Radio_Spends,BrandMedia_Social_Spends,BrandMedia_TotalDigitalVideo_Spends,NonPaid_Apps_Leads,NonPaid_Apps_Visits,NonPaid_Direct_Leads,NonPaid_Direct_Visits,NonPaid_Email_Leads,NonPaid_Email_Visits,NonPaid_OtherProperties_Leads,NonPaid_OtherProperties_Visits,NonPaid_SEO_Leads,NonPaid_SEO_Visits,PerformanceMedia_App_Spends,PerformanceMedia_Display_Leads,PerformanceMedia_Display_Spends,PerformanceMedia_Display_Visits,PerformanceMedia_PaidSearch_Leads,PerformanceMedia_PaidSearch_Spends,PerformanceMedia_PaidSearch_Visits,PerformanceMedia_Partner_Leads,PerformanceMedia_Partner_Visits,PerformanceMedia_Partners_Spends,Total_DeseasonalizedMarketplace_Revenue,Total_Marketplace_SeasonalIndex,Total_Total_Visits
2001/1/18,167802.8978,0,0,0,0,0,0,0,0,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,5652935.905,0.966538586,14984428.97
2008/1/18,167802.8978,0,0,0,0,0,0,0,0,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,5652935.905,0.966538586,14984428.97
2015/1/18,167802.8978,0,0,0,0,0,0,0,0,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,5652935.905,0.966538586,14984428.97
2022/1/18,167802.8978,0,0,0,0,0,0,0,0,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,5652935.905,0.966538586,14984428.97
2029/1/18,167802.8978,0,0,0,0,0,0,0,0,0,1897929.899,0,2745327.184,0,209741.0553,0,1639478.548,0,1274079.843,55963.28571,389329.7012,700156.8894,2171110.507,769199.7626,1174696.931,7082736.364,16428.12988,690611.8788,225736.2765,6184718.615,1.085155964,16071536.73
2005/2/18,167802.8978,0,0,0,0,0,0,0,0,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,7046993.478,1.085155964,16886867.55
2012/2/18,167802.8978,0,0,0,0,0,0,0,0,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,7046993.478,1.085155964,16886867.55
2019/2/18,167802.8978,0,0,0,0,0,0,0,0,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,7046993.478,1.085155964,16886867.55
2026/2/18,167802.8978,0,0,0,0,0,0,0,0,0,1971580.15,0,2789755.969,0,227478.7834,0,1652796.597,0,1356671.697,99368.43203,382811.1831,915602.7396,1967044.332,981330.4129,1004130.424,7078696.926,24732.49609,763856.1913,267659.9735,7154187.741,1.015957679,16155084.05
2005/3/18,167802.8978,0,0,0,0,0,0,0,0,0,1971476.387,0,2765898.258,0,226784.871,0,1619056.419,0,1372233.032,122099.1935,358946.9581,935863.4194,1834477.581,907776.1546,847200.7419,6715693.871,26138.3337,719682.4194,272787.5161,6874598.071,1.015957679,15606246.42
2012/3/18,167802.8978,0,0,0,0,0,0,0,0,0,1971476.387,0,2765898.258,0,226784.871,0,1619056.419,0,1372233.032,122099.1935,358946.9581,935863.4194,1834477.581,907776.1546,847200.7419,6715693.871,26138.3337,719682.4194,272787.5161,6874598.071,1.015957679,15606246.42
2019/3/18,167802.8978,0,0,0,0,0,0,0,0,0,1971476.387,0,2765898.258,0,226784.871,0,1619056.419,0,1372233.032,122099.1935,358946.9581,935863.4194,1834477.581,907776.1546,847200.7419,6715693.871,26138.3337,719682.4194,272787.5161,6874598.071,1.015957679,15606246.42
2026/3/18,158269.6601,0,0,0,0,0,0,0,0,0,1966201.07,0,2754767.035,0,225285.8989,0,1593205.612,0,1375626.875,112742.3849,351668.6874,916700.4452,1828019.855,898796.3319,806618.0645,6583745.999,26808.29368,731808.6452,267836.7043,6911511.139,1.015957679,15465455.38
2002/4/18,101070.234,0,0,0,0,0,0,0,0,0,1934549.167,0,2687979.7,0,216292.0667,0,1438100.767,0,1395989.933,56601.53333,307999.0632,801722.6,1789273.5,844917.3952,563122,5792058.767,30828.05357,804566,238131.8333,8047205.338,0.900538162,14620709.13
2009/4/18,101070.234,0,0,0,0,0,0,0,0,0,1934549.167,0,2687979.7,0,216292.0667,0,1438100.767,0,1395989.933,56601.53333,307999.0632,801722.6,1789273.5,844917.3952,563122,5792058.767,30828.05357,804566,238131.8333,8047205.338,0.900538162,14620709.13
2016/4/18,101070.234,0,0,0,0,0,0,0,0,0,1934549.167,0,2687979.7,0,216292.0667,0,1438100.767,0,1395989.933,56601.53333,307999.0632,801722.6,1789273.5,844917.3952,563122,5792058.767,30828.05357,804566,238131.8333,8047205.338,0.900538162,14620709.13
